"unit","qudtUri","TotalUses","pseudounit","qudtUnit"
"micromolesperliter","http://qudt.org/vocab/unit/MicroMOL-PER-L",270,"micromoleperliter","MicroMOL-PER-L"
"gramspermetersquaredperyear",NA,269,"grampermeterquaredperyear","GM-PER-M2-YR"
"gramspermetersquaredperyear",NA,269,"grampermeterquaredperyear","GM-PER-M2-YR"
"partspermillion","http://qudt.org/vocab/unit/PPM",268,"partpermillion","PPM"
"nanomolepergram",NA,266,"nanomolepergram","NanoMOL-e-PER-GM"
"ratio of two quantities as percent composition (1:100)",NA,263,"ratiooftwoquantitiesaspercentcomposition(1:100)","ratiooftwoquantitiesas-PERCENT-composition"
"3",NA,263,"3","3"
"fahrenheit","http://qudt.org/vocab/unit/DEG_F",255,"fahrenheit","DEG_F"
"kilogramsperhectare","http://qudt.org/vocab/unit/KiloGM-PER-HA",253,"kilogramperhectare","KiloGM-PER-HA"
"microsiemenspercentimeter","http://qudt.org/vocab/unit/MicroS-PER-CentiM",252,"microsiemenspercentimeter","MicroS-PER-CentiM"
"nominalminute",NA,247,"nominalminute","nominal-MIN"
"kilometer","http://qudt.org/vocab/unit/KiloM",247,"kilometer","KiloM"
"millimeterperday","http://qudt.org/vocab/unit/MilliM-PER-DAY",245,"millimeterperday","MilliM-PER-DAY"
"milligramperkilogram","http://qudt.org/vocab/unit/MilliGM-PER-KiloGM",244,"milligramperkilogram","MilliGM-PER-KiloGM"
"metercubedpermetercubed","http://qudt.org/vocab/unit/M3-PER-M3",239,"metercubedpermetercubed","M3-PER-M3"
"partperthousand","http://qudt.org/vocab/unit/PPTH",236,"partperthousand","PPTH"
"numberperhectare","http://qudt.org/vocab/unit/NUM-PER-HA",229,"numberperhectare","NUM-PER-HA"
"gramperday","http://qudt.org/vocab/unit/GM-PER-DAY",228,"gramperday","GM-PER-DAY"
"micromoleperkilogram","http://qudt.org/vocab/unit/MicroMOL-PER-KiloGM",227,"micromoleperkilogram","MicroMOL-PER-KiloGM"
"4",NA,226,"4","4"
"mole","http://qudt.org/vocab/unit/MOL",224,"mole","MOL"
"partsperthousand","http://qudt.org/vocab/unit/PPTH",222,"partperthousand","PPTH"
"squarecentimeters","http://qudt.org/vocab/unit/CentiM2",220,"squarecentimeter","CentiM2"
"unadjustedusdollars",NA,213,"unadjustedusdollars","unadjusted-USDollar"
"numberperhectare","http://qudt.org/vocab/unit/NUM-PER-HA",210,"numberperhectare","NUM-PER-HA"
"decimal degrees","http://qudt.org/vocab/unit/DEG",208,"decimaldegree","DEG"
"micromolepermole","http://qudt.org/vocab/unit/MicroMOL-PER-MOL",207,"micromolepermole","MicroMOL-PER-MOL"
"cubicmeter","http://qudt.org/vocab/unit/M3",206,"cubicmeter","M3"
"watt","http://qudt.org/vocab/unit/W",205,"watt","W"
"milligramsperkilogram","http://qudt.org/vocab/unit/MilliGM-PER-KiloGM",205,"milligramperkilogram","MilliGM-PER-KiloGM"
"microgram","http://qudt.org/vocab/unit/MicroGM",205,"microgram","MicroGM"
"milligramspergram","http://qudt.org/vocab/unit/MilliGM-PER-GM",204,"milligrampergram","MilliGM-PER-GM"
"hhhh","http://qudt.org/vocab/unit/HR",204,"hhhh","HR"
"meterpersecond","http://qudt.org/vocab/unit/M-PER-SEC",202,"meterpersecond","M-PER-SEC"
"si unit of length",NA,201,"siunitoflength","siunitoflength"
"millimeters","http://qudt.org/vocab/unit/MilliM",201,"millimeter","MilliM"
"effortpergram",NA,201,"effortpergram","effort-PER-GM"
"ph","http://qudt.org/vocab/unit/PH",198,"ph","PH"
"gramperfourhundredthmetersquared",NA,197,"gramperfourhundredthmeterquared","GM-PER-fourhundredth-M2"
"acre","http://qudt.org/vocab/unit/AC",197,"acre","AC"
"ppm","http://qudt.org/vocab/unit/PPM",192,"partpermillion","PPM"
"5",NA,192,"5","5"
"megapascal","http://qudt.org/vocab/unit/MegaPA",191,"megapascal","MegaPA"
"dollar","http://qudt.org/vocab/unit/USDollar",190,"dollar","USDollar"
"%","http://qudt.org/vocab/unit/PERCENT",190,"percent","PERCENT"
"metersquared","http://qudt.org/vocab/unit/M2",188,"meterquared","M2"
"numberperliter","http://qudt.org/vocab/unit/NUM-PER-L",186,"numberperliter","NUM-PER-L"
"kilograms per catchment",NA,185,"kilogrampercatchment","KiloGM-PER-catchment"
"grams","http://qudt.org/vocab/unit/GM",185,"gram","GM"
"percent","http://qudt.org/vocab/unit/PERCENT",182,"percent","PERCENT"
"millivolt","http://qudt.org/vocab/unit/MilliV",182,"millivolt","MilliV"
"milligramsperkilogram","http://qudt.org/vocab/unit/MilliGM-PER-KiloGM",181,"milligramperkilogram","MilliGM-PER-KiloGM"
"kilogrampermetercubed","http://qudt.org/vocab/unit/KiloGM-PER-M3",181,"kilogrampermetercubed","KiloGM-PER-M3"
"si-derived unit of temperature",NA,178,"si-derivedunitoftemperature","si-derivedunitoftem-PER-ature"
"cm","http://qudt.org/vocab/unit/CentiM",175,"centimeter","CentiM"
"milligrams per liter","http://qudt.org/vocab/unit/MilliGM-PER-L",174,"milligramperliter","MilliGM-PER-L"
"pascal","http://qudt.org/vocab/unit/PA",173,"pascal","PA"
"wattspersquaremeter","http://qudt.org/vocab/unit/W-PER-M2",172,"wattspersquaremeter","W-PER-M2"
"micromolepergram","http://qudt.org/vocab/unit/MicroMOL-PER-GM",172,"micromolepergram","MicroMOL-PER-GM"
"numberperliter","http://qudt.org/vocab/unit/NUM-PER-L",168,"numberperliter","NUM-PER-L"
"a number",NA,168,"anumber","a-NUM"
"millimolepermetercubed","http://qudt.org/vocab/unit/MilliMOL-PER-M3",160,"millimolepermetercubed","MilliMOL-PER-M3"
"milliliterperliter","http://qudt.org/vocab/unit/MilliL-PER-L",160,"milliliterperliter","MilliL-PER-L"
"nd",NA,159,"nd","nd"
"joule","http://qudt.org/vocab/unit/J",159,"joule","J"
"a designation asserting the absence of an associated unit",NA,156,"adesignationassertingtheabsenceofanassociatedunit","adesignationassertingtheabsenceofanassociatedunit"
"quantity",NA,155,"quantity","quantity"
"cubicmeterspersecond","http://qudt.org/vocab/unit/M3-PER-SEC",155,"cubicmeterpersecond","M3-PER-SEC"
"milligramspercubicmeter","http://qudt.org/vocab/unit/MilliGM-PER-M3",154,"milligrampercubicmeter","MilliGM-PER-M3"
"micromolspermetresquaredpersecond","http://qudt.org/vocab/unit/MicroMOL-PER-M2-SEC",153,"micromolspermetresquaredpersecond","MicroMOL-PER-M2-SEC"
"micromolespersquaremeterpersecond","http://qudt.org/vocab/unit/MicroMOL-PER-M2-SEC",153,"micromolepersquaremeterpersecond","MicroMOL-PER-M2-SEC"
"weight percent",NA,152,"weightpercent","weight-PERCENT"
"microeinsteinpermetersquaredpersecond","http://qudt.org/vocab/unit/MicroMOL-PER-M2-SEC",152,"microeinsteinpermeterquaredpersecond","MicroMOL-PER-M2-SEC"
"gramspercubiccentimeter","http://qudt.org/vocab/unit/GM-PER-CentiM3",152,"grampercubiccentimeter","GM-PER-CentiM3"
"literspersecond","http://qudt.org/vocab/unit/L-PER-SEC",150,"literpersecond","L-PER-SEC"
"decimaldegree","http://qudt.org/vocab/unit/DEG",148,"decimaldegree","DEG"
"mm","http://qudt.org/vocab/unit/MilliM",146,"millimeter","MilliM"
"partpermillion","http://qudt.org/vocab/unit/PPM",143,"partpermillion","PPM"
"feet","http://qudt.org/vocab/unit/FT",143,"foot","FT"
"squarekilometers",NA,141,"squarekilometer","KiloM2"
"squarekilometers",NA,139,"squarekilometer","KiloM2"
"tonne","http://qudt.org/vocab/unit/TONNE",137,"tonne","TONNE"
"literpersecond","http://qudt.org/vocab/unit/L-PER-SEC",137,"literpersecond","L-PER-SEC"
"celsiussquared",NA,137,"celsiussquared","DEG_C2"
"360 degrees comprise a unit circle.",NA,137,"360degreecompriseaunitcircle.","360-DEG_C-ompriseaunitcircle"
"microatmosphere","http://qudt.org/vocab/unit/MicroATM",136,"microatmosphere","MicroATM"
"cubicmeter","http://qudt.org/vocab/unit/M3",136,"cubicmeter","M3"
"microequivalentsperliter",NA,135,"microequivalentsperliter","microequivalents-PER-L"
"milligrampermetercubedperday","http://qudt.org/vocab/unit/MilliGM-PER-M3-DAY",133,"milligrampermetercubedperday","MilliGM-PER-M3-DAY"
"micromolesperliter","http://qudt.org/vocab/unit/MicroMOL-PER-L",132,"micromoleperliter","MicroMOL-PER-L"
"metersquaredpermetersquared","http://qudt.org/vocab/unit/M2-PER-M2",131,"meterquaredpermeterquared","M2-PER-M2"
"yyyy","http://qudt.org/vocab/unit/YR",130,"yyyy","YR"
"pound","http://qudt.org/vocab/unit/LB",130,"pound","LB"
"millisiemenpercentimeter","http://qudt.org/vocab/unit/MilliS-PER-CentiM",130,"millisiemenpercentimeter","MilliS-PER-CentiM"
"wattspersquaremeter","http://qudt.org/vocab/unit/W-PER-M2",127,"wattspersquaremeter","W-PER-M2"
"degc","http://qudt.org/vocab/unit/DEG_C",126,"degc","DEG_C"
"numberpermilliliter",NA,125,"numberpermilliliter","NUM-PER-MilliL"
"squarecentimeters","http://qudt.org/vocab/unit/CentiM2",124,"squarecentimeter","CentiM2"
"micrometersquared","http://qudt.org/vocab/unit/MicroM2",124,"micrometerquared","MicroM2"
"money",NA,122,"money","money"
"millisiemenspercentimeter","http://qudt.org/vocab/unit/MilliS-PER-CentiM",122,"millisiemenspercentimeter","MilliS-PER-CentiM"
"meterssquaredperhectare","http://qudt.org/vocab/unit/M2-PER-HA",120,"metersquaredperhectare","M2-PER-HA"
"milligramspergram","http://qudt.org/vocab/unit/MilliGM-PER-GM",118,"milligrampergram","MilliGM-PER-GM"
"integer count",NA,116,"integercount","integercount"
"gramspergram","http://qudt.org/vocab/unit/GM-PER-GM",116,"grampergram","GM-PER-GM"
"g m-2","http://qudt.org/vocab/unit/GM-PER-M2",115,"grampermetersquared","GM-PER-M2"
"nominalhour",NA,114,"nominalhour","nominal-HR"
"centimetersquared","http://qudt.org/vocab/unit/CentiM2",114,"centimeterquared","CentiM2"
"catchperuniteffort",NA,114,"catchperuniteffort","catch-PER-uniteffort"
"n/a",NA,113,"npera","n-PER-a"
"g^m2",NA,113,"g^m2","g^m2"
"milligrampermetersquaredperday","http://qudt.org/vocab/unit/MilliGM-PER-M2-DAY",112,"milligrampermeterquaredperday","MilliGM-PER-M2-DAY"
"knots","http://qudt.org/vocab/unit/KN",111,"knot","KN"
"numberper0.1millimetercubed",NA,110,"numberper0.1millimetercubed","NUM-PER-0-NA-1-MilliM3"
"days","http://qudt.org/vocab/unit/DAY",109,"day","DAY"
"reciprocalmeter","http://qudt.org/vocab/unit/PER-M",108,"reciprocalmeter","PER-M"
"microsatellite allele scores (i.e. the length of the gene sequence in base pairs) for each locus across all samples",NA,108,"microsatelliteallelescores(i.e.thelengthofthegenesequenceinbasepairs)foreachlocusacrossallsamples","microsatelliteallelescoresforeachlocusacrossallsamples"
"microgramspergram","http://qudt.org/vocab/unit/MicroGM-PER-GM",108,"microgrampergram","MicroGM-PER-GM"
"meterperday",NA,108,"meterperday","M-PER-DAY"
"kgbiomass/tree/year",NA,108,"kgbiomasspertreeperyear","kgbiomass-PER-tree-YR"
"integer",NA,107,"integer","integer"
"microgramscarbonpermetercubed",NA,105,"microgramcarbonpermetercubed","MicroGM-_Carbon-PER-M3"
"microequivalentspersquaremeterperday",NA,105,"microequivalentspersquaremeterperday","microequivalents-PER-M2-DAY"
"gramspermetersquared","http://qudt.org/vocab/unit/GM-PER-M2",105,"grampermeterquared","GM-PER-M2"
"grampermetersquaredperyear",NA,105,"grampermeterquaredperyear","GM-PER-M2-YR"
"nanogramperliter","http://qudt.org/vocab/unit/NanoGM-PER-L",104,"nanogramperliter","NanoGM-PER-L"
"microsiemenspercentimeter","http://qudt.org/vocab/unit/MicroS-PER-CentiM",102,"microsiemenspercentimeter","MicroS-PER-CentiM"
"microsiemens/cm","http://qudt.org/vocab/unit/MicroS-PER-CentiM",102,"microsiemenspercentimeter","MicroS-PER-CentiM"
"kelvin","http://qudt.org/vocab/unit/K",102,"kelvin","K"
"centimeterpersecond","http://qudt.org/vocab/unit/CentiM-PER-SEC",101,"centimeterpersecond","CentiM-PER-SEC"
"milligrampermetersquared","http://qudt.org/vocab/unit/MilliGM-PER-M2",99,"milligrampermeterquared","MilliGM-PER-M2"
"milligramspersquaremeter","http://qudt.org/vocab/unit/MilliGM-PER-M2",96,"milligrampersquaremeter","MilliGM-PER-M2"
".001 meters",NA,96,".001meter","NA-001-M"
"positive numbers, no data = blank",NA,95,"positivenumber,nodata=blank","positive-NUM-,nodata=blank"
"metersquaredperhectare","http://qudt.org/vocab/unit/M2-PER-HA",94,"meterquaredperhectare","M2-PER-HA"
"liter","http://qudt.org/vocab/unit/L",94,"liter","L"
"grampermetersquaredperday","http://qudt.org/vocab/unit/GM-PER-M2-DAY",92,"grampermeterquaredperday","GM-PER-M2-DAY"
"numberper100milliliters",NA,90,"numberper100milliliter","NUM-PER-100-MilliL"
"nominalminute",NA,90,"nominalminute","nominal-MIN"
"years","http://qudt.org/vocab/unit/YR",89,"year","YR"
"wattspermetersquared","http://qudt.org/vocab/unit/W-PER-M2",88,"wattspermeterquared","W-PER-M2"
"m","http://qudt.org/vocab/unit/M",88,"m","M"
"microsiemenpercentimeter","http://qudt.org/vocab/unit/MicroS-PER-CentiM",87,"microsiemenpercentimeter","MicroS-PER-CentiM"
"micromols/second/meter2",NA,87,"micromolspersecondpermeter2","MicroMOL-PER-SEC-M2"
"mmol/m2/s","http://qudt.org/vocab/unit/MilliMOL-PER-M2-SEC",86,"millimolepermetersquaredpersecond","MilliMOL-PER-M2-SEC"
"grampermetercubed","http://qudt.org/vocab/unit/GM-PER-M3",86,"grampermetercubed","GM-PER-M3"
"micrograms per liter","http://qudt.org/vocab/unit/MicroGM-PER-L",85,"microgramperliter","MicroGM-PER-L"
"microgrampergram","http://qudt.org/vocab/unit/MicroGM-PER-GM",85,"microgrampergram","MicroGM-PER-GM"
"gramspercubiccentimeter","http://qudt.org/vocab/unit/GM-PER-CentiM3",84,"grampercubiccentimeter","GM-PER-CentiM3"
"cubicmeterperkilogram","http://qudt.org/vocab/unit/M3-PER-KiloGM",84,"cubicmeterperkilogram","M3-PER-KiloGM"
".01 meters",NA,84,".01meter","NA-01-M"
"microsecond","http://qudt.org/vocab/unit/MicroSEC",83,"microsecond","MicroSEC"
"microgrampergramperday",NA,83,"microgrampergramperday","MicroGM-PER-GM-DAY"
"metersquaredpersecondsquared","http://qudt.org/vocab/unit/M2-PER-SEC2",83,"meterquaredpersecondquared","M2-PER-SEC2"
"nanometer","http://qudt.org/vocab/unit/NanoM",82,"nanometer","NanoM"
"ratio",NA,80,"ratio","ratio"
"micromolesperliter","http://qudt.org/vocab/unit/MicroMOL-PER-L",80,"micromoleperliter","MicroMOL-PER-L"
"cubiccentimeterspercubiccentimetersquared",NA,80,"cubiccentimeterpercubiccentimeterquared","CentiM3-PER-CentiM32"
"kilogrampermetersquaredpersecond","http://qudt.org/vocab/unit/KiloGM-PER-M2-SEC",79,"kilogrampermeterquaredpersecond","KiloGM-PER-M2-SEC"
"micromolar","http://qudt.org/vocab/unit/MicroMOL-PER-L",78,"micromolar","MicroMOL-PER-L"
"gallon","http://qudt.org/vocab/unit/GAL_US",78,"gallon","GAL_US"
"base pairs",NA,78,"basepairs","basepairs"
"numberperthousandmeterscubed",NA,77,"numberperthousandmetercubed","NUM-PER-thousand-M3"
"acres","http://qudt.org/vocab/unit/AC",76,"acre","AC"
"1e6dollars","http://qudt.org/vocab/unit/MillionUSD",76,"1e6dollars","MillionUSD"
"numberperfivecentimeter",NA,74,"numberperfivecentimeter","NUM-PER-five-CentiM"
"milliliterperthousandcubicmeter",NA,74,"milliliterperthousandcubicmeter","MilliL-PER-thousand-M3"
"cm3/cm3","http://qudt.org/vocab/unit/CentiM3-PER-CentiM3",74,"centimetercubedpercentimetercubed","CentiM3-PER-CentiM3"
"ratio of two quantities as parts per thousand (1:1000)",NA,73,"ratiooftwoquantitiesaspartperthousand(1:1000)","ratiooftwoquantitiesas-PPTH"
"proportion","http://qudt.org/vocab/unit/FRACTION",73,"proportion","FRACTION"
"liters per second","http://qudt.org/vocab/unit/L-PER-SEC",73,"literpersecond","L-PER-SEC"
"millimolepermetersquaredpersecond","http://qudt.org/vocab/unit/MilliMOL-PER-M2-SEC",72,"millimolepermeterquaredpersecond","MilliMOL-PER-M2-SEC"
"milliliterperthousandcubicmeter",NA,72,"milliliterperthousandcubicmeter","MilliL-PER-thousand-M3"
"microequivalentperliter",NA,72,"microequivalentperliter","microequivalent-PER-L"
"gm-2","http://qudt.org/vocab/unit/GM-PER-M2",72,"grampermetersquared","GM-PER-M2"
"cubiccentimeterspercubiccentimeters","http://qudt.org/vocab/unit/CentiM3-PER-CentiM3",72,"cubiccentimeterpercubiccentimeter","CentiM3-PER-CentiM3"
"nephelometricturbidityunit","http://qudt.org/vocab/unit/NTU",71,"nephelometricturbidityunit","NTU"
"milligrampermetersquaredperhour","http://qudt.org/vocab/unit/MilliGM-PER-M2-HR",71,"milligrampermeterquaredperhour","MilliGM-PER-M2-HR"
"microgramspermilligram",NA,70,"microgrampermilligram","MicroGM-PER-MilliGM"
"metersperhectare",NA,70,"meterperhectare","M-PER-HA"
"kilograms per hectare","http://qudt.org/vocab/unit/KiloGM-PER-HA",70,"kilogramperhectare","KiloGM-PER-HA"
"grampercentimetercubed","http://qudt.org/vocab/unit/GM-PER-CentiM3",70,"grampercentimetercubed","GM-PER-CentiM3"
"0.001 kg",NA,70,"0.001kilogram","0-NA-001-KiloGM"
"period",NA,69,"period","PER-iod"
"numberpermetercubed","http://qudt.org/vocab/unit/NUM-PER-M3",69,"numberpermetercubed","NUM-PER-M3"
