"unit","ediScopeUses","ediPackageUses","ediTotalUses","neonScopeUses","neonPackageUses","neonTotalUses","dataoneTotalUses","orgList","numOrgs","totalScopes","totalPackages","TotalUses"
"wattspersquaremeter",5,25,123,4,6,154,18,"EDI NEON DataOne",3,9,31,295
"microsiemenspercentimeter",11,91,135,5,15,71,31,"EDI NEON DataOne",3,16,106,237
"gramspercubiccentimeter",21,108,152,2,2,4,80,"EDI NEON DataOne",3,23,110,236
"ph",10,130,167,3,5,13,42,"EDI NEON DataOne",3,13,135,222
"literspersecond",9,65,149,2,3,26,29,"EDI NEON DataOne",3,11,68,204
"milligramspercubicmeter",7,13,31,1,1,80,74,"EDI NEON DataOne",3,8,14,185
"micromolespersquaremeterpersecond",6,14,17,3,4,140,13,"EDI NEON DataOne",3,9,18,170
"gramspergram",9,34,105,1,1,1,49,"EDI NEON DataOne",3,10,35,155
"micromolesperliter",4,11,42,1,1,6,74,"EDI NEON DataOne",3,5,12,122
"liter",15,51,73,2,5,7,14,"EDI NEON DataOne",3,17,56,94
"nanometer",12,35,59,1,1,4,19,"EDI NEON DataOne",3,13,36,82
"gramsperkilogram",7,16,47,2,2,16,7,"EDI NEON DataOne",3,9,18,70
"kilometersperhour",8,15,21,1,1,1,46,"EDI NEON DataOne",3,9,16,68
"proportion",7,19,60,1,1,3,4,"EDI NEON DataOne",3,8,20,67
"gramspercubicmeter",2,3,23,1,1,1,33,"EDI NEON DataOne",3,3,4,57
"millimolesperliter",2,3,5,2,2,28,1,"EDI NEON DataOne",3,4,5,34
"meterssquared",3,10,10,2,3,11,8,"EDI NEON DataOne",3,5,13,29
"meterspersecondsquared",2,3,7,3,3,14,4,"EDI NEON DataOne",3,5,6,25
"microgramspermilliliter",3,4,18,1,1,3,4,"EDI NEON DataOne",3,4,5,25
"squarecentimeter",2,3,18,1,1,1,5,"EDI NEON DataOne",3,3,4,24
"hertz",2,3,4,1,1,4,2,"EDI NEON DataOne",3,3,4,10
"siemenspercentimeter",3,3,4,2,2,2,2,"EDI NEON DataOne",3,5,5,8
"meters per second",1,4,24,0,0,0,26349,"EDI DataOne",2,1,4,26373
"grampermetersquared",13,171,3534,0,0,0,409,"EDI DataOne",2,13,171,3943
"nominalyear",17,1204,2105,0,0,0,788,"EDI DataOne",2,17,1204,2893
"wattpermetersquared",17,174,2349,0,0,0,428,"EDI DataOne",2,17,174,2777
"grampermetersquaredperday",5,37,2399,0,0,0,92,"EDI DataOne",2,5,37,2491
"meterpersecond",15,270,2043,0,0,0,202,"EDI DataOne",2,15,270,2245
"micromolepermetersquaredpersecond",17,246,1594,0,0,0,549,"EDI DataOne",2,17,246,2143
"hectare",12,96,1636,0,0,0,264,"EDI DataOne",2,12,96,1900
"micromoleperliter",15,233,1403,0,0,0,417,"EDI DataOne",2,15,233,1820
"kilogrampercubicmeter",8,315,1373,0,0,0,406,"EDI DataOne",2,8,315,1779
"decibar",9,307,1342,0,0,0,403,"EDI DataOne",2,9,307,1745
"siemenspermeter",5,368,1329,0,0,0,356,"EDI DataOne",2,5,368,1685
"milligramperliter",15,270,1189,0,0,0,423,"EDI DataOne",2,15,270,1612
"meters",5,51,267,0,0,0,1149,"EDI DataOne",2,5,51,1416
"nominalmonth",5,593,883,0,0,0,299,"EDI DataOne",2,5,593,1182
"numberpermetersquared",20,151,837,0,0,0,325,"EDI DataOne",2,20,151,1162
"microgramperliter",13,142,713,0,0,0,430,"EDI DataOne",2,13,142,1143
"degrees celsius",1,10,56,0,0,0,943,"EDI DataOne",2,1,10,999
"kilogramsperhectare",7,40,670,0,0,0,253,"EDI DataOne",2,7,40,923
"cubicmeterpercubicmeter",3,80,895,0,0,0,5,"EDI DataOne",2,3,80,900
"percentabbr.",1,95,709,0,0,0,141,"EDI DataOne",2,1,95,850
"count",8,39,377,0,0,0,469,"EDI DataOne",2,8,39,846
"unitless",5,23,98,0,0,0,738,"EDI DataOne",2,5,23,836
"fraction",4,19,450,0,0,0,358,"EDI DataOne",2,4,19,808
"degc",1,22,679,0,0,0,126,"EDI DataOne",2,1,22,805
"decisiemenspermeter",1,76,627,2,2,4,0,"EDI NEON",2,3,78,631
"year",8,65,130,0,0,0,484,"EDI DataOne",2,8,65,614
"gramperfourhundredthmetersquared",1,21,390,0,0,0,197,"EDI DataOne",2,1,21,587
"degrees",5,122,270,0,0,0,314,"EDI DataOne",2,5,122,584
"inches",2,3,15,0,0,0,567,"EDI DataOne",2,2,3,582
"metercubedpersecond",6,46,524,0,0,0,28,"EDI DataOne",2,6,46,552
"gramspermetersquaredperyear",8,153,269,0,0,0,269,"EDI DataOne",2,8,153,538
"percentage",7,27,255,0,0,0,263,"EDI DataOne",2,7,27,518
"practicalsalinityunit",5,33,452,0,0,0,54,"EDI DataOne",2,5,33,506
"kilogram",18,69,266,0,0,0,236,"EDI DataOne",2,18,69,502
"# kg/soil",1,9,339,0,0,0,161,"EDI DataOne",2,1,9,500
"decimal degrees",2,5,14,0,0,0,477,"EDI DataOne",2,2,5,491
"na",0,0,0,15,39,181,296,"NEON DataOne",2,15,39,477
"microequivalentperliter",6,53,398,0,0,0,72,"EDI DataOne",2,6,53,470
"microgramspergram",17,87,358,0,0,0,108,"EDI DataOne",2,17,87,466
"foot",20,110,215,0,0,0,237,"EDI DataOne",2,20,110,452
"milligram",22,108,348,0,0,0,103,"EDI DataOne",2,22,108,451
"month",4,11,14,0,0,0,434,"EDI DataOne",2,4,11,448
"numberperhectare",6,26,210,0,0,0,229,"EDI DataOne",2,6,26,439
"1",1,1,1,0,0,0,426,"EDI DataOne",2,1,1,427
"numberpermetercubed",6,18,357,0,0,0,69,"EDI DataOne",2,6,18,426
"grampermetersquaredperyear",8,21,311,0,0,0,105,"EDI DataOne",2,8,21,416
"millibar",23,172,297,0,0,0,115,"EDI DataOne",2,23,172,412
"milligrampergram",10,49,338,0,0,0,61,"EDI DataOne",2,10,49,399
"inch",21,69,202,0,0,0,167,"EDI DataOne",2,21,69,369
"microgrampergram",12,53,284,0,0,0,85,"EDI DataOne",2,12,53,369
"micromolesperliter",9,43,228,0,0,0,132,"EDI DataOne",2,9,43,360
"numberperliter",7,27,186,0,0,0,168,"EDI DataOne",2,7,27,354
"millimolepermetersquaredpersecond",6,46,280,0,0,0,72,"EDI DataOne",2,6,46,352
"squarecentimeters",16,115,220,0,0,0,124,"EDI DataOne",2,16,115,344
"nominalminute",7,198,247,0,0,0,90,"EDI DataOne",2,7,198,337
"w/m^2",2,32,315,0,0,0,22,"EDI DataOne",2,2,32,337
"w/m2",3,52,272,0,0,0,52,"EDI DataOne",2,3,52,324
"centimeters",4,46,237,0,0,0,87,"EDI DataOne",2,4,46,324
"grampergram",8,49,304,0,0,0,16,"EDI DataOne",2,8,49,320
"parts per million",2,6,57,0,0,0,262,"EDI DataOne",2,2,6,319
"milligramspergram",11,51,198,0,0,0,118,"EDI DataOne",2,11,51,316
"micrometer",15,29,232,0,0,0,64,"EDI DataOne",2,15,29,296
"partperthousand",7,135,236,0,0,0,49,"EDI DataOne",2,7,135,285
"percentage",1,1,2,0,0,0,279,"EDI DataOne",2,1,1,281
"phi",1,1,5,0,0,0,276,"EDI DataOne",2,1,1,281
"millimeterperday",7,35,245,0,0,0,35,"EDI DataOne",2,7,35,280
"squarekilometers",10,29,139,0,0,0,141,"EDI DataOne",2,10,29,280
"permil",14,85,249,0,0,0,27,"EDI DataOne",2,14,85,276
"metercubedpermetercubed",4,52,238,0,0,0,30,"EDI DataOne",2,4,52,268
"fahrenheit",16,46,179,0,0,0,76,"EDI DataOne",2,16,46,255
"micromoleperkilogram",6,57,227,0,0,0,27,"EDI DataOne",2,6,57,254
"milligramperkilogram",12,46,215,0,0,0,37,"EDI DataOne",2,12,46,252
"kilometer",16,69,115,0,0,0,132,"EDI DataOne",2,16,69,247
"micromolepermole",8,76,206,0,0,0,34,"EDI DataOne",2,8,76,240
"partsperthousand",9,59,220,0,0,0,19,"EDI DataOne",2,9,59,239
"kilogrampermetercubed",8,60,181,0,0,0,50,"EDI DataOne",2,8,60,231
"microsiemenpercentimeter",5,105,140,0,0,0,87,"EDI DataOne",2,5,105,227
"mole",5,7,17,0,0,0,206,"EDI DataOne",2,5,7,223
"year (yyyy)",1,103,172,0,0,0,47,"EDI DataOne",2,1,103,219
"metersquared",16,86,188,0,0,0,24,"EDI DataOne",2,16,86,212
"effortpergram",1,25,201,0,0,0,9,"EDI DataOne",2,1,25,210
"microsiemenpercentimeter",5,49,186,0,0,0,23,"EDI DataOne",2,5,49,209
"decimaldegree",4,26,58,17,56,148,0,"EDI NEON",2,21,82,206
"watt",1,1,2,0,0,0,203,"EDI DataOne",2,1,1,205
"microgram",17,49,158,0,0,0,46,"EDI DataOne",2,17,49,204
"hhhh",1,33,152,0,0,0,52,"EDI DataOne",2,1,33,204
"percent",3,6,20,0,0,0,182,"EDI DataOne",2,3,6,202
"millimeters",5,22,101,0,0,0,100,"EDI DataOne",2,5,22,201
"acre",9,48,119,0,0,0,78,"EDI DataOne",2,9,48,197
"milliliterperliter",4,89,160,0,0,0,33,"EDI DataOne",2,4,89,193
"ppm",5,18,152,0,0,0,40,"EDI DataOne",2,5,18,192
"megapascal",7,45,180,0,0,0,10,"EDI DataOne",2,7,45,190
"%",4,12,24,0,0,0,166,"EDI DataOne",2,4,12,190
"metersquaredpermetersquared",3,47,129,0,0,0,59,"EDI DataOne",2,3,47,188
"dollar",3,3,47,0,0,0,141,"EDI DataOne",2,3,3,188
"grams",5,29,74,0,0,0,111,"EDI DataOne",2,5,29,185
"millivolt",15,46,98,0,0,0,83,"EDI DataOne",2,15,46,181
"cubicmeterspersecond",9,40,155,0,0,0,25,"EDI DataOne",2,9,40,180
"meterssquaredperhectare",1,1,59,0,0,0,120,"EDI DataOne",2,1,1,179
"milligrampermetersquaredperday",12,50,109,0,0,0,67,"EDI DataOne",2,12,50,176
"cm",1,33,92,0,0,0,83,"EDI DataOne",2,1,33,175
"millimolepermetercubed",4,33,160,0,0,0,15,"EDI DataOne",2,4,33,175
"milligrams per liter",2,7,148,0,0,0,26,"EDI DataOne",2,2,7,174
"pascal",10,27,158,0,0,0,14,"EDI DataOne",2,10,27,172
"gramspermetersquared",5,46,64,0,0,0,105,"EDI DataOne",2,5,46,169
"microeinsteinpermetersquaredpersecond",4,40,136,0,0,0,31,"EDI DataOne",2,4,40,167
"numberpermilliliter",11,33,125,0,0,0,38,"EDI DataOne",2,11,33,163
"joule",1,2,2,0,0,0,157,"EDI DataOne",2,1,2,159
"milligramspersquaremeter",12,26,96,0,0,0,60,"EDI DataOne",2,12,26,156
"decisiemenspermeter",1,9,104,0,0,0,47,"EDI DataOne",2,1,9,151
"literpersecond",7,108,136,0,0,0,13,"EDI DataOne",2,7,108,149
"partpermillion",6,49,143,0,0,0,5,"EDI DataOne",2,6,49,148
"milligrampermetercubedperday",4,24,133,0,0,0,15,"EDI DataOne",2,4,24,148
"milliliterperthousandcubicmeter",2,4,74,0,0,0,72,"EDI DataOne",2,2,4,146
"numberperthousandmeterscubed",1,3,77,0,0,0,68,"EDI DataOne",2,1,3,145
"feet",6,21,50,0,0,0,93,"EDI DataOne",2,6,21,143
"milligrampermetersquared",7,26,99,0,0,0,41,"EDI DataOne",2,7,26,140
"millisiemenpercentimeter",7,79,122,0,0,0,17,"EDI DataOne",2,7,79,139
"celsiussquared",1,1,1,7,11,137,0,"EDI NEON",2,8,12,138
"tonne",2,2,8,0,0,0,129,"EDI DataOne",2,2,2,137
"mm",2,3,80,0,0,0,53,"EDI DataOne",2,2,3,133
"pound",5,10,17,0,0,0,113,"EDI DataOne",2,5,10,130
"centimetersquared",12,47,111,0,0,0,18,"EDI DataOne",2,12,47,129
"micrometersquared",2,7,121,0,0,0,3,"EDI DataOne",2,2,7,124
"yyyy",1,70,77,0,0,0,46,"EDI DataOne",2,1,70,123
"micromoleperliter",3,6,61,0,0,0,60,"EDI DataOne",2,3,6,121
"metersquaredperhectare",4,20,89,0,0,0,26,"EDI DataOne",2,4,20,115
"wattspermetersquared",8,20,81,0,0,0,34,"EDI DataOne",2,8,20,115
"g m-2",1,1,1,0,0,0,114,"EDI DataOne",2,1,1,115
"cubiccentimeterspercubiccentimeters",8,15,72,0,0,0,42,"EDI DataOne",2,8,15,114
"reciprocalmeter",4,55,108,0,0,0,4,"EDI DataOne",2,4,55,112
"meterperday",4,29,108,0,0,0,4,"EDI DataOne",2,4,29,112
"centimeterspersecond",8,20,65,0,0,0,46,"EDI DataOne",2,8,20,111
"milligrampermetersquaredperhour",4,15,68,0,0,0,43,"EDI DataOne",2,4,15,111
"year (yyyy)",1,19,107,0,0,0,3,"EDI DataOne",2,1,19,110
"centimeterpersecond",9,30,100,0,0,0,9,"EDI DataOne",2,9,30,109
"days",6,15,29,0,0,0,79,"EDI DataOne",2,6,15,108
"kgbiomass/tree/year",1,10,68,0,0,0,40,"EDI DataOne",2,1,10,108
"microatmosphere",7,34,88,0,0,0,17,"EDI DataOne",2,7,34,105
"celsius",4,8,42,0,0,0,62,"EDI DataOne",2,4,8,104
"kelvin",9,54,81,0,0,0,21,"EDI DataOne",2,9,54,102
"grampermetercubed",5,32,85,0,0,0,15,"EDI DataOne",2,5,32,100
"n/a",1,2,98,0,0,0,1,"EDI DataOne",2,1,2,99
"integer",1,3,53,0,0,0,45,"EDI DataOne",2,1,3,98
"microeinsteinspersquaremeter",1,67,67,0,0,0,29,"EDI DataOne",2,1,67,96
"microsiemens/cm",3,39,85,0,0,0,10,"EDI DataOne",2,3,39,95
"knots",3,20,85,0,0,0,10,"EDI DataOne",2,3,20,95
"microequivalentsperliter",3,16,87,0,0,0,8,"EDI DataOne",2,3,16,95
"metersquaredpersecondsquared",3,32,83,0,0,0,11,"EDI DataOne",2,3,32,94
"metercubedperhectare",4,8,37,0,0,0,55,"EDI DataOne",2,4,8,92
"metersbelowlandsurface",1,2,69,0,0,0,23,"EDI DataOne",2,1,2,92
"micromolespersquaremeterpersecond",3,5,30,0,0,0,61,"EDI DataOne",2,3,5,91
"kilogrampermetersquaredpersecond",1,30,79,0,0,0,11,"EDI DataOne",2,1,30,90
"microsiemenspercentimeter",8,51,77,0,0,0,11,"EDI DataOne",2,8,51,88
"milligrampermetercubed",4,37,58,0,0,0,30,"EDI DataOne",2,4,37,88
"gramspersquaremeterperday",3,5,35,0,0,0,53,"EDI DataOne",2,3,5,88
"micromols/second/meter2",1,23,80,0,0,0,7,"EDI DataOne",2,1,23,87
"m",2,16,28,0,0,0,59,"EDI DataOne",2,2,16,87
"nanogramsperliter",2,2,23,0,0,0,64,"EDI DataOne",2,2,2,87
"mmol/m2/s",1,8,49,0,0,0,37,"EDI DataOne",2,1,8,86
"cubicmeterperkilogram",2,35,84,0,0,0,1,"EDI DataOne",2,2,35,85
"microsecond",5,25,64,0,0,0,19,"EDI DataOne",2,5,25,83
"cubicmeterperhectare",2,2,26,0,0,0,54,"EDI DataOne",2,2,2,80
"grampercentimetercubed",9,46,70,0,0,0,9,"EDI DataOne",2,9,46,79
"ratio",7,20,48,0,0,0,31,"EDI DataOne",2,7,20,79
"years",4,10,44,0,0,0,35,"EDI DataOne",2,4,10,79
"gallon",4,7,11,0,0,0,67,"EDI DataOne",2,4,7,78
"kilogramspersquaremeter",7,18,38,0,0,0,39,"EDI DataOne",2,7,18,77
"microgrampergramperday",7,16,74,0,0,0,2,"EDI DataOne",2,7,16,76
"1e6dollars",1,1,19,0,0,0,57,"EDI DataOne",2,1,1,76
"acres",1,1,1,0,0,0,75,"EDI DataOne",2,1,1,76
"kilowattpermetersquared",6,31,47,0,0,0,28,"EDI DataOne",2,6,31,75
"micromolepergramperhour",6,15,62,0,0,0,13,"EDI DataOne",2,6,15,75
"n/a",2,5,14,0,0,0,61,"EDI DataOne",2,2,5,75
"numberperfivecentimeter",1,1,74,0,0,0,1,"EDI DataOne",2,1,1,75
"microgramperliterperday",4,36,50,0,0,0,24,"EDI DataOne",2,4,36,74
"centimoleperkilogram",5,9,58,0,0,0,16,"EDI DataOne",2,5,9,74
"microgramspermilligram",5,6,70,0,0,0,4,"EDI DataOne",2,5,6,74
"cm3/cm3",1,4,55,0,0,0,19,"EDI DataOne",2,1,4,74
"kilogrampermetersquared",9,18,52,0,0,0,21,"EDI DataOne",2,9,18,73
"gm-2",1,2,2,0,0,0,70,"EDI DataOne",2,1,2,72
"permil",5,23,59,0,0,0,12,"EDI DataOne",2,5,23,71
"micrograms per liter",1,3,3,0,0,0,67,"EDI DataOne",2,1,3,70
"millimolepermetersquared",1,29,58,0,0,0,11,"EDI DataOne",2,1,29,69
"mile",8,19,37,0,0,0,32,"EDI DataOne",2,8,19,69
"gramsperhectograms",1,8,23,0,0,0,46,"EDI DataOne",2,1,8,69
"period",1,4,39,0,0,0,30,"EDI DataOne",2,1,4,69
"disintegrationsperminute",1,24,48,0,0,0,20,"EDI DataOne",2,1,24,68
"millimolepermole",6,24,60,0,0,0,7,"EDI DataOne",2,6,24,67
"microeinsteinspersquaremeterpersecond",3,37,50,0,0,0,16,"EDI DataOne",2,3,37,66
"millimolespersquaremeter",5,31,52,0,0,0,14,"EDI DataOne",2,5,31,66
"g",2,17,32,0,0,0,34,"EDI DataOne",2,2,17,66
"millimolepermetersquaredperday",7,15,61,0,0,0,5,"EDI DataOne",2,7,15,66
"squaremillimeters",6,16,55,0,0,0,10,"EDI DataOne",2,6,16,65
"ntu",3,11,55,0,0,0,10,"EDI DataOne",2,3,11,65
"meterpersecond",1,3,41,0,0,0,24,"EDI DataOne",2,1,3,65
"millimoles/liter",1,9,59,0,0,0,5,"EDI DataOne",2,1,9,64
"seconds",2,6,11,0,0,0,53,"EDI DataOne",2,2,6,64
"gramsper100grams",1,21,21,0,0,0,42,"EDI DataOne",2,1,21,63
"unitless",1,1,48,0,0,0,15,"EDI DataOne",2,1,1,63
"milesperhour",6,15,39,0,0,0,23,"EDI DataOne",2,6,15,62
"partsperbillion",5,13,55,0,0,0,7,"EDI DataOne",2,5,13,62
"bar",5,7,23,0,0,0,39,"EDI DataOne",2,5,7,62
"decimal degrees latitude or longitude",4,25,57,0,0,0,4,"EDI DataOne",2,4,25,61
"microgramsperkilogram",2,2,13,0,0,0,48,"EDI DataOne",2,2,2,61
"psu",3,29,32,0,0,0,28,"EDI DataOne",2,3,29,60
"metercubed",6,20,57,0,0,0,3,"EDI DataOne",2,6,20,60
"1e3dollars",1,1,15,0,0,0,45,"EDI DataOne",2,1,1,60
"metersquaredpersecond",3,21,52,0,0,0,7,"EDI DataOne",2,3,21,59
"kilogramperhectare",6,8,42,0,0,0,17,"EDI DataOne",2,6,8,59
"nanomolespergram",1,1,2,1,1,57,0,"EDI NEON",2,2,2,59
"microequivalentsperliter",2,13,47,0,0,0,11,"EDI DataOne",2,2,13,58
"decimal degrees",2,2,4,0,0,0,54,"EDI DataOne",2,2,2,58
"dimmessionless",1,2,21,0,0,0,37,"EDI DataOne",2,1,2,58
"nanomolepergramperhour",3,4,56,0,0,0,1,"EDI DataOne",2,3,4,57
"standardizedunits",1,1,28,0,0,0,28,"EDI DataOne",2,1,1,56
"nanomolespergrampersecond",3,6,13,0,0,0,42,"EDI DataOne",2,3,6,55
"tonneperhectare",4,6,16,0,0,0,39,"EDI DataOne",2,4,6,55
"nephelometricturbidityunit",6,31,52,0,0,0,2,"EDI DataOne",2,6,31,54
"micromolar",3,10,52,0,0,0,2,"EDI DataOne",2,3,10,54
"m/s",1,2,40,0,0,0,14,"EDI DataOne",2,1,2,54
"centimetercubed",7,19,43,0,0,0,10,"EDI DataOne",2,7,19,53
"millimeterperyear",7,15,40,0,0,0,12,"EDI DataOne",2,7,15,52
"decimal degree",1,13,32,0,0,0,20,"EDI DataOne",2,1,13,52
"square meters",2,7,12,0,0,0,40,"EDI DataOne",2,2,7,52
"micromolespergramperhour",3,6,42,0,0,0,10,"EDI DataOne",2,3,6,52
"relativefluorescenceunit",2,6,50,0,0,0,2,"EDI DataOne",2,2,6,52
"wattspermeter",1,4,26,0,0,0,25,"EDI DataOne",2,1,4,51
"wattpersquaremeter",1,1,3,0,0,0,48,"EDI DataOne",2,1,1,51
"henry",1,8,34,0,0,0,16,"EDI DataOne",2,1,8,50
"milligrampermetersquareperhour",1,5,34,0,0,0,16,"EDI DataOne",2,1,5,50
"mg/l",1,2,15,0,0,0,35,"EDI DataOne",2,1,2,50
"kilogramsperhectareperyear",6,16,46,0,0,0,3,"EDI DataOne",2,6,16,49
"microgramspergramperday",6,13,35,0,0,0,14,"EDI DataOne",2,6,13,49
"decibel",2,2,12,0,0,0,37,"EDI DataOne",2,2,2,49
"parts per million (ppm)",1,1,3,0,0,0,46,"EDI DataOne",2,1,1,49
"degreesfromnorth",1,17,34,0,0,0,14,"EDI DataOne",2,1,17,48
"molarity",4,4,21,0,0,0,27,"EDI DataOne",2,4,4,48
"millisecond",5,6,32,0,0,0,15,"EDI DataOne",2,5,6,47
"cubicfeetpersecond",7,16,35,0,0,0,11,"EDI DataOne",2,7,16,46
"knot",4,13,37,0,0,0,9,"EDI DataOne",2,4,13,46
"microatmosphere",2,8,31,0,0,0,15,"EDI DataOne",2,2,8,46
"um",3,6,32,0,0,0,14,"EDI DataOne",2,3,6,46
"nanogramspergram",1,3,23,0,0,0,23,"EDI DataOne",2,1,3,46
"m",1,1,1,0,0,0,45,"EDI DataOne",2,1,1,46
"megajoulepermetersquared",3,22,33,0,0,0,12,"EDI DataOne",2,3,22,45
"datetime",1,16,33,0,0,0,12,"EDI DataOne",2,1,16,45
"numberperkilometersquared",5,7,16,0,0,0,29,"EDI DataOne",2,5,7,45
"cubicmeterspercubicmeters",1,2,4,0,0,0,41,"EDI DataOne",2,1,2,45
"degrees latitude or longitude",4,17,38,0,0,0,6,"EDI DataOne",2,4,17,44
"microm",1,9,38,0,0,0,6,"EDI DataOne",2,1,9,44
"cubic feet per second",2,3,26,0,0,0,18,"EDI DataOne",2,2,3,44
"numberpercentimetersquared",2,3,43,0,0,0,1,"EDI DataOne",2,2,3,44
"micromolepermeterpersecondsquared",1,14,37,0,0,0,6,"EDI DataOne",2,1,14,43
"gco2-cm-2half-hour-1",1,4,14,0,0,0,29,"EDI DataOne",2,1,4,43
"millimolesperkilogram",1,4,28,0,0,0,15,"EDI DataOne",2,1,4,43
"gramperonetenthmetersquared",3,3,25,0,0,0,18,"EDI DataOne",2,3,3,43
"kilometersquared",5,15,41,0,0,0,1,"EDI DataOne",2,5,15,42
"centemeter",1,2,28,0,0,0,14,"EDI DataOne",2,1,2,42
"m2/m2",1,1,21,0,0,0,21,"EDI DataOne",2,1,1,42
"onetenthinch",1,1,21,0,0,0,21,"EDI DataOne",2,1,1,42
"year",6,12,23,0,0,0,18,"EDI DataOne",2,6,12,41
"micromolesperkilogram",2,6,24,0,0,0,17,"EDI DataOne",2,2,6,41
"millimolespercubicmeter",3,3,26,0,0,0,15,"EDI DataOne",2,3,3,41
"cm3/cm2",1,2,35,0,0,0,6,"EDI DataOne",2,1,2,41
"megajoulepermetersquaredperday",1,35,37,0,0,0,3,"EDI DataOne",2,1,35,40
"kilogrampermeterpersecondsquared",2,19,38,0,0,0,2,"EDI DataOne",2,2,19,40
"millimolespermetercubed",1,1,20,0,0,0,20,"EDI DataOne",2,1,1,40
"count",3,19,23,0,0,0,16,"EDI DataOne",2,3,19,39
"numberpergram",7,10,31,0,0,0,8,"EDI DataOne",2,7,10,39
"molepermetersquaredperday",5,26,35,0,0,0,3,"EDI DataOne",2,5,26,38
"g/m2",1,5,15,0,0,0,23,"EDI DataOne",2,1,5,38
"kilogrampermetersquaredperday",1,2,30,0,0,0,8,"EDI DataOne",2,1,2,38
"microomhn/cm",1,1,1,0,0,0,37,"EDI DataOne",2,1,1,38
"no units",1,1,1,0,0,0,37,"EDI DataOne",2,1,1,38
"degreecelsius",2,12,31,0,0,0,6,"EDI DataOne",2,2,12,37
"joulepermetercubedperkelvin",1,29,29,0,0,0,7,"EDI DataOne",2,1,29,36
"molepermetersquaredpersecond",6,12,28,0,0,0,8,"EDI DataOne",2,6,12,36
"reciprocalmeterpersteradian",1,9,27,0,0,0,9,"EDI DataOne",2,1,9,36
"micromolespermetersquaredpersecond",5,7,28,0,0,0,8,"EDI DataOne",2,5,7,36
"kilogramsperhectareperday",2,2,18,0,0,0,18,"EDI DataOne",2,2,2,36
"cfu/g",1,1,12,0,0,0,24,"EDI DataOne",2,1,1,36
"ohm",1,1,12,0,0,0,24,"EDI DataOne",2,1,1,36
"reciprocalday",1,1,12,0,0,0,24,"EDI DataOne",2,1,1,36
"radian",4,31,31,0,0,0,4,"EDI DataOne",2,4,31,35
"microgramspergramperhour",4,7,23,0,0,0,12,"EDI DataOne",2,4,7,35
"micromolespermeterssquaredpersecond",1,6,24,0,0,0,11,"EDI DataOne",2,1,6,35
"gramsperhectogram",2,5,21,0,0,0,14,"EDI DataOne",2,2,5,35
"kilojoulepermetersquare",1,18,29,0,0,0,5,"EDI DataOne",2,1,18,34
"degrees celcius",1,11,27,0,0,0,7,"EDI DataOne",2,1,11,34
"nominalweek",3,5,14,0,0,0,20,"EDI DataOne",2,3,5,34
"integer",1,1,1,0,0,0,33,"EDI DataOne",2,1,1,34
"poundsperacre",1,1,8,0,0,0,26,"EDI DataOne",2,1,1,34
